"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"W",2009-07-01,2009-07-31,"POLYGON ((45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000, 50.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000))",1,2
"W",2009-07-01,2009-07-31,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((-5.0000000000000000 0.0000000000000000, -5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000, 0.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 -15.0000000000000000, 50.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -15.0000000000000000, 50.0000000000000000 -15.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",1,3
"W",2009-07-01,2009-07-31,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",2,1
"W",2009-07-01,2009-07-31,"POLYGON ((5.0000000000000000 -5.0000000000000000, 5.0000000000000000 0.0000000000000000, 10.0000000000000000 0.0000000000000000, 10.0000000000000000 -5.0000000000000000, 5.0000000000000000 -5.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,2
"W",2009-07-01,2009-07-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,2
"W",2009-07-01,2009-07-31,"POLYGON ((-55.0000000000000000 5.0000000000000000, -55.0000000000000000 10.0000000000000000, -50.0000000000000000 10.0000000000000000, -50.0000000000000000 5.0000000000000000, -55.0000000000000000 5.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((70.0000000000000000 -5.0000000000000000, 70.0000000000000000 0.0000000000000000, 75.0000000000000000 0.0000000000000000, 75.0000000000000000 -5.0000000000000000, 70.0000000000000000 -5.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((75.0000000000000000 -10.0000000000000000, 75.0000000000000000 -5.0000000000000000, 80.0000000000000000 -5.0000000000000000, 80.0000000000000000 -10.0000000000000000, 75.0000000000000000 -10.0000000000000000))",1,1
"W",2009-07-01,2009-07-31,"POLYGON ((85.0000000000000000 -10.0000000000000000, 85.0000000000000000 -5.0000000000000000, 90.0000000000000000 -5.0000000000000000, 90.0000000000000000 -10.0000000000000000, 85.0000000000000000 -10.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((0.0000000000000000 0.0000000000000000, 0.0000000000000000 5.0000000000000000, 5.0000000000000000 5.0000000000000000, 5.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((0.0000000000000000 -5.0000000000000000, 0.0000000000000000 0.0000000000000000, 5.0000000000000000 0.0000000000000000, 5.0000000000000000 -5.0000000000000000, 0.0000000000000000 -5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((-15.0000000000000000 -5.0000000000000000, -15.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000, -10.0000000000000000 -5.0000000000000000, -15.0000000000000000 -5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((45.0000000000000000 0.0000000000000000, 45.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000, 50.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000))",1,2
"W",2009-08-01,2009-08-31,"POLYGON ((45.0000000000000000 -30.0000000000000000, 45.0000000000000000 -25.0000000000000000, 50.0000000000000000 -25.0000000000000000, 50.0000000000000000 -30.0000000000000000, 45.0000000000000000 -30.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,10
"W",2009-08-01,2009-08-31,"POLYGON ((-5.0000000000000000 0.0000000000000000, -5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000, 0.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000))",1,3
"W",2009-08-01,2009-08-31,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,3
"W",2009-08-01,2009-08-31,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((50.0000000000000000 5.0000000000000000, 50.0000000000000000 10.0000000000000000, 55.0000000000000000 10.0000000000000000, 55.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,3
"W",2009-08-01,2009-08-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",2,1
"W",2009-08-01,2009-08-31,"POLYGON ((55.0000000000000000 5.0000000000000000, 55.0000000000000000 10.0000000000000000, 60.0000000000000000 10.0000000000000000, 60.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((70.0000000000000000 -10.0000000000000000, 70.0000000000000000 -5.0000000000000000, 75.0000000000000000 -5.0000000000000000, 75.0000000000000000 -10.0000000000000000, 70.0000000000000000 -10.0000000000000000))",1,1
"W",2009-08-01,2009-08-31,"POLYGON ((90.0000000000000000 -5.0000000000000000, 90.0000000000000000 0.0000000000000000, 95.0000000000000000 0.0000000000000000, 95.0000000000000000 -5.0000000000000000, 90.0000000000000000 -5.0000000000000000))",1,3
"W",2009-09-01,2009-09-30,"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((40.0000000000000000 -15.0000000000000000, 40.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -15.0000000000000000, 40.0000000000000000 -15.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((-40.0000000000000000 -5.0000000000000000, -40.0000000000000000 0.0000000000000000, -35.0000000000000000 0.0000000000000000, -35.0000000000000000 -5.0000000000000000, -40.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((40.0000000000000000 -5.0000000000000000, 40.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000, 45.0000000000000000 -5.0000000000000000, 40.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000, 50.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000))",1,2
"W",2009-09-01,2009-09-30,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,4
"W",2009-09-01,2009-09-30,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",2,1
"W",2009-09-01,2009-09-30,"POLYGON ((-5.0000000000000000 0.0000000000000000, -5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000, 0.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000))",1,2
"W",2009-09-01,2009-09-30,"POLYGON ((5.0000000000000000 0.0000000000000000, 5.0000000000000000 5.0000000000000000, 10.0000000000000000 5.0000000000000000, 10.0000000000000000 0.0000000000000000, 5.0000000000000000 0.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((50.0000000000000000 -5.0000000000000000, 50.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000, 55.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((50.0000000000000000 5.0000000000000000, 50.0000000000000000 10.0000000000000000, 55.0000000000000000 10.0000000000000000, 55.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000))",1,3
"W",2009-09-01,2009-09-30,"POLYGON ((-5.0000000000000000 -5.0000000000000000, -5.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000, 0.0000000000000000 -5.0000000000000000, -5.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,5
